x, y, z
-73.200000, 30.050000, 55.000000
-73.266667, 30.058333, 55.000000
-73.333333, 30.066667, 55.000000
-73.400000, 30.075000, 55.000000
-73.466667, 30.083333, 55.000000
-73.533333, 30.091667, 55.000000
-73.600000, 30.100000, 55.000000
-73.616667, 30.158333, 55.416667
-73.633333, 30.216667, 55.833333
-73.650000, 30.275000, 56.250000
-73.666667, 30.333333, 56.666667
-73.683333, 30.391667, 57.083333
-73.700000, 30.450000, 57.500000
-73.716667, 30.508333, 57.916667
-73.733333, 30.566667, 58.333333
-73.750000, 30.625000, 58.750000
-73.766667, 30.683333, 59.166667
-73.783333, 30.741667, 59.583333
-73.800000, 30.800000, 60.000000
-73.791667, 30.866667, 60.000000
-73.783333, 30.933333, 60.000000
-73.775000, 31.000000, 60.000000
-73.766667, 31.066667, 60.000000
-73.758333, 31.133333, 60.000000
-73.750000, 31.200000, 60.000000
-73.741667, 31.266667, 60.000000
-73.733333, 31.333333, 60.000000
-73.725000, 31.400000, 60.000000
-73.716667, 31.466667, 60.000000
-73.708333, 31.533333, 60.000000
-73.700000, 31.600000, 60.000000
-73.675000, 31.675000, 60.000000
-73.650000, 31.750000, 60.000000
-73.625000, 31.825000, 60.000000
-73.600000, 31.900000, 60.000000
-73.575000, 31.975000, 60.000000
-73.550000, 32.050000, 60.000000
-73.525000, 32.125000, 60.000000
-73.500000, 32.200000, 60.000000
-73.475000, 32.275000, 60.000000
-73.450000, 32.350000, 60.000000
-73.425000, 32.425000, 60.000000
-73.400000, 32.500000, 60.000000
-73.341667, 32.591667, 60.000000
-73.283333, 32.683333, 60.000000
-73.225000, 32.775000, 60.000000
-73.166667, 32.866667, 60.000000
-73.108333, 32.958333, 60.000000
-73.050000, 33.050000, 60.000000
-72.991667, 33.141667, 60.000000
-72.933333, 33.233333, 60.000000
-72.875000, 33.325000, 60.000000
-72.816667, 33.416667, 60.000000
-72.758333, 33.508333, 60.000000
-72.700000, 33.600000, 60.000000
-72.625000, 33.750000, 60.416667
-72.550000, 33.900000, 60.833333
-72.475000, 34.050000, 61.250000
-72.400000, 34.200000, 61.666667
-72.325000, 34.350000, 62.083333
-72.250000, 34.500000, 62.500000
-72.175000, 34.650000, 62.916667
-72.100000, 34.800000, 63.333333
-72.025000, 34.950000, 63.750000
-71.950000, 35.100000, 64.166667
-71.875000, 35.250000, 64.583333
-71.800000, 35.400000, 65.000000
-71.725000, 35.583333, 65.000000
-71.650000, 35.766667, 65.000000
-71.575000, 35.950000, 65.000000
-71.500000, 36.133333, 65.000000
-71.425000, 36.316667, 65.000000
-71.350000, 36.500000, 65.000000
-71.275000, 36.683333, 65.000000
-71.200000, 36.866667, 65.000000
-71.125000, 37.050000, 65.000000
-71.050000, 37.233333, 65.000000
-70.975000, 37.416667, 65.000000
-70.900000, 37.600000, 65.000000
-70.908333, 37.750000, 65.000000
-70.916667, 37.900000, 65.000000
-70.925000, 38.050000, 65.000000
-70.933333, 38.200000, 65.000000
-70.941667, 38.350000, 65.000000
-70.950000, 38.500000, 65.000000
-70.958333, 38.650000, 65.000000
-70.966667, 38.800000, 65.000000
-70.975000, 38.950000, 65.000000
-70.983333, 39.100000, 65.000000
-70.991667, 39.250000, 65.000000
